model,fold,n_train,n_test,train_subjects,test_subjects,seconds,signature,macro_f1_3class,bin_sensitivity,bin_specificity,bin_precision,bin_f1,bin_tp,bin_fp,bin_tn,bin_fn,bin_auc,bin_auprc,bkg_recall,bkg_precision,bkg_f1,bkg_support,alert_recall,alert_precision,alert_f1,alert_support,fall_recall,fall_precision,fall_f1,fall_support,protocol,dataset,task,params,lo,hi
proposed,fold0,90726,23740,20,5,143.1,2574e6104c95,0.9554716221876616,0.92828418230563,0.993482560230133,0.9052287581699346,0.9166115155526142,1385,145,22103,107,0.9946493819849939,0.9676155993563345,0.993482560230133,0.995182350292661,0.9943317288227091,22248,0.0,0.0,0.0,0,0.92828418230563,0.9052287581699346,0.9166115155526142,1492,grouped5,sisfall,postfall,7947,0.9585
proposed,fold1,90811,23655,20,5,170.6,2574e6104c95,0.9474648250588036,0.924,0.9915143308508237,0.8805590851334181,0.9017566688353936,1386,188,21967,114,0.9956079590762055,0.9655251370983501,0.9915143308508237,0.9948371903446402,0.9931729812822137,22155,0.0,0.0,0.0,0,0.924,0.8805590851334181,0.9017566688353936,1500,grouped5,sisfall,postfall,7947,0.9629
proposed,fold2,95119,19347,20,5,241.9,2574e6104c95,0.9414336794750753,0.8658333333333333,0.9947098693999008,0.9154185022026432,0.8899357601713062,1039,96,18051,161,0.9962458670854686,0.9505187861289871,0.9947098693999008,0.9911596749396002,0.9929315987788442,18147,0.0,0.0,0.0,0,0.8658333333333333,0.9154185022026432,0.8899357601713062,1200,grouped5,sisfall,postfall,7947,0.95
proposed,fold3,90626,23840,20,5,143.1,2574e6104c95,0.9493991323240534,0.9413333333333334,0.990734109221128,0.8721432983323039,0.905418403334402,1412,207,22133,88,0.9936084153983885,0.9657089982521184,0.990734109221128,0.9960397821880204,0.9933798613137048,22340,0.0,0.0,0.0,0,0.9413333333333334,0.8721432983323039,0.905418403334402,1500,grouped5,sisfall,postfall,7947,0.9495
proposed,fold4,90582,23884,20,5,184.8,2574e6104c95,0.9571415215429677,0.9073333333333333,0.9955771979985704,0.9321917808219178,0.9195945945945946,1361,99,22285,139,0.9961407106266381,0.96428557485381,0.9955771979985704,0.993801284338209,0.9946884484913409,22384,0.0,0.0,0.0,0,0.9073333333333333,0.9321917808219178,0.9195945945945946,1500,grouped5,sisfall,postfall,7947,0.9679
proposed_loso,sisfall:SA01,109688,4778,24,1,190.9,2574e6104c95,0.9592253355466887,0.9266666666666666,0.9946404644930773,0.9205298013245033,0.9235880398671096,278,24,4454,22,0.9977020991514068,0.9771540490443917,0.9946404644930773,0.9950848972296693,0.9948626312262676,4478,0.0,0.0,0.0,0,0.9266666666666666,0.9205298013245033,0.9235880398671096,300,loso,sisfall,postfall,7947,0.96
proposed_loso,sisfall:SA02,109688,4778,24,1,193.3,2574e6104c95,0.9165375087340406,0.7866666666666666,0.9946404644930773,0.9076923076923077,0.8428571428571429,236,24,4454,64,0.9887486973351198,0.9215368749894624,0.9946404644930773,0.9858344400177069,0.9902178746109382,4478,0.0,0.0,0.0,0,0.7866666666666666,0.9076923076923077,0.8428571428571429,300,loso,sisfall,postfall,7947,0.9605
proposed_loso,sisfall:SA03,109688,4778,24,1,162.3,2574e6104c95,0.9583543972805717,0.9466666666666667,0.9928539526574364,0.8987341772151899,0.9220779220779222,284,32,4446,16,0.9923708500818818,0.9698092467578231,0.9928539526574364,0.9964141640519946,0.9946308724832215,4478,0.0,0.0,0.0,0,0.9466666666666667,0.8987341772151899,0.9220779220779222,300,loso,sisfall,postfall,7947,0.9615
proposed_loso,sisfall:SA04,109688,4778,24,1,116.3,2574e6104c95,0.9575509354506675,0.9466666666666667,0.9926306386779813,0.8958990536277602,0.9205834683954619,284,33,4445,16,0.9953327378293881,0.9759162044778191,0.9926306386779813,0.9964133602331315,0.9945184025058731,4478,0.0,0.0,0.0,0,0.9466666666666667,0.8958990536277602,0.9205834683954619,300,loso,sisfall,postfall,7947,0.9563
proposed_loso,sisfall:SA05,109688,4778,24,1,202.6,2574e6104c95,0.9443218022938307,0.84,0.9975435462259937,0.9581749049429658,0.8952042628774421,252,11,4467,48,0.9957570343903528,0.9620673276862645,0.9975435462259937,0.9893687707641196,0.9934393417102191,4478,0.0,0.0,0.0,0,0.84,0.9581749049429658,0.8952042628774421,300,loso,sisfall,postfall,7947,0.9631
proposed_loso,sisfall:SA06,109688,4778,24,1,152.2,2574e6104c95,0.9386771843760751,0.9133333333333333,0.9899508709245198,0.8589341692789969,0.8852988691437803,274,45,4433,26,0.9952821199940449,0.9628034265859309,0.9899508709245198,0.9941690962099126,0.9920554996083697,4478,0.0,0.0,0.0,0,0.9133333333333333,0.8589341692789969,0.8852988691437803,300,loso,sisfall,postfall,7947,0.9609
